2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:13:25,244.FinalProject.INFO Prepared binary message b'[481789,B]'....
2023-10-06 23:13:25,269.FinalProject.INFO Prepared binary message b'[481789,3.00]'....
2023-10-06 23:13:30,279.FinalProject.INFO Prepared binary message b'[481789,D]'....
2023-10-06 23:13:30,291.FinalProject.INFO Prepared binary message b'[481789,1.00]'....
2023-10-06 23:13:35,309.FinalProject.INFO Prepared binary message b'[481886,A]'....
2023-10-06 23:13:35,319.FinalProject.INFO Prepared binary message b'[481886,4.00]'....
2023-10-06 23:13:40,348.FinalProject.INFO Prepared binary message b'[481907,A-]'....
2023-10-06 23:13:40,358.FinalProject.INFO Prepared binary message b'[481907,3.70]'....
2023-10-06 23:13:45,388.FinalProject.INFO Prepared binary message b'[482177,B-]'....
2023-10-06 23:13:45,398.FinalProject.INFO Prepared binary message b'[482177,2.70]'....
2023-10-06 23:13:50,414.FinalProject.INFO Prepared binary message b'[482178,F]'....
2023-10-06 23:13:50,435.FinalProject.INFO Prepared binary message b'[482178,0.00]'....
2023-10-06 23:13:55,450.FinalProject.INFO Prepared binary message b'[482207,A]'....
2023-10-06 23:13:55,481.FinalProject.INFO Prepared binary message b'[482207,4.00]'....
2023-10-06 23:14:00,498.FinalProject.INFO Prepared binary message b'[482272,F]'....
2023-10-06 23:14:00,529.FinalProject.INFO Prepared binary message b'[482272,0.00]'....
2023-10-06 23:14:05,547.FinalProject.INFO Prepared binary message b'[482277,A]'....
2023-10-06 23:14:05,557.FinalProject.INFO Prepared binary message b'[482277,4.00]'....
2023-10-06 23:14:10,562.FinalProject.INFO Prepared binary message b'[482308,A]'....
2023-10-06 23:14:10,580.FinalProject.INFO Prepared binary message b'[482308,4.00]'....
2023-10-06 23:14:15,608.FinalProject.INFO Prepared binary message b'[482365,A-]'....
2023-10-06 23:14:15,623.FinalProject.INFO Prepared binary message b'[482365,3.70]'....
2023-10-06 23:14:20,650.FinalProject.INFO Prepared binary message b'[482397,B]'....
2023-10-06 23:14:20,685.FinalProject.INFO Prepared binary message b'[482397,3.00]'....
2023-10-06 23:14:25,715.FinalProject.INFO Prepared binary message b'[482447,A]'....
2023-10-06 23:14:25,720.FinalProject.INFO Prepared binary message b'[482447,4.00]'....
2023-10-06 23:14:30,738.FinalProject.INFO Prepared binary message b'[482454,A-]'....
2023-10-06 23:14:30,750.FinalProject.INFO Prepared binary message b'[482454,3.70]'....
2023-10-06 23:14:35,766.FinalProject.INFO Prepared binary message b'[1620832,B+]'....
2023-10-06 23:14:35,775.FinalProject.INFO Prepared binary message b'[1620832,3.30]'....
2023-10-06 23:14:40,799.FinalProject.INFO Prepared binary message b'[1620832,A]'....
2023-10-06 23:14:40,830.FinalProject.INFO Prepared binary message b'[1620832,4.00]'....
2023-10-06 23:14:45,859.FinalProject.INFO Prepared binary message b'[1620832,A-]'....
2023-10-06 23:14:45,869.FinalProject.INFO Prepared binary message b'[1620832,3.70]'....
2023-10-06 23:14:50,897.FinalProject.INFO Prepared binary message b'[1620832,A]'....
2023-10-06 23:14:50,902.FinalProject.INFO Prepared binary message b'[1620832,4.00]'....
2023-10-06 23:14:55,933.FinalProject.INFO Prepared binary message b'[1620832,B]'....
2023-10-06 23:14:55,934.FinalProject.INFO Prepared binary message b'[1620832,3.00]'....
2023-10-06 23:15:00,958.FinalProject.INFO Prepared binary message b'[1620832,A]'....
2023-10-06 23:15:00,971.FinalProject.INFO Prepared binary message b'[1620832,4.00]'....
2023-10-06 23:15:05,997.FinalProject.INFO Prepared binary message b'[1699840,B+]'....
2023-10-06 23:15:06,032.FinalProject.INFO Prepared binary message b'[1699840,3.30]'....
2023-10-06 23:15:11,063.FinalProject.INFO Prepared binary message b'[1699840,A]'....
2023-10-06 23:15:11,078.FinalProject.INFO Prepared binary message b'[1699840,4.00]'....
2023-10-06 23:15:16,095.FinalProject.INFO Prepared binary message b'[1699840,B]'....
2023-10-06 23:15:16,126.FinalProject.INFO Prepared binary message b'[1699840,3.00]'....
2023-10-06 23:15:21,146.FinalProject.INFO Prepared binary message b'[1699840,C-]'....
2023-10-06 23:15:21,162.FinalProject.INFO Prepared binary message b'[1699840,1.70]'....
2023-10-06 23:15:26,183.FinalProject.INFO Prepared binary message b'[1699840,D+]'....
2023-10-06 23:15:26,198.FinalProject.INFO Prepared binary message b'[1699840,1.30]'....
2023-10-06 23:15:31,229.FinalProject.INFO Prepared binary message b'[1699840,A]'....
2023-10-06 23:15:31,229.FinalProject.INFO Prepared binary message b'[1699840,4.00]'....
2023-10-06 23:15:36,261.FinalProject.INFO Prepared binary message b'[1699840,B]'....
2023-10-06 23:15:36,263.FinalProject.INFO Prepared binary message b'[1699840,3.00]'....
2023-10-06 23:15:41,285.FinalProject.INFO Prepared binary message b'[1699840,A]'....
2023-10-06 23:15:41,296.FinalProject.INFO Prepared binary message b'[1699840,4.00]'....
2023-10-06 23:15:46,333.FinalProject.INFO Prepared binary message b'[1699840,A]'....
2023-10-06 23:15:46,361.FinalProject.INFO Prepared binary message b'[1699840,4.00]'....
2023-10-06 23:15:51,377.FinalProject.INFO Prepared binary message b'[1699840,A-]'....
2023-10-06 23:15:51,405.FinalProject.INFO Prepared binary message b'[1699840,3.70]'....
2023-10-06 23:15:56,422.FinalProject.INFO Prepared binary message b'[1699840,B]'....
2023-10-06 23:15:56,422.FinalProject.INFO Prepared binary message b'[1699840,3.00]'....
2023-10-06 23:16:01,437.FinalProject.INFO Prepared binary message b'[1699840,B+]'....
2023-10-06 23:16:01,444.FinalProject.INFO Prepared binary message b'[1699840,3.30]'....
2023-10-06 23:16:06,457.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:06,457.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:11,482.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:11,499.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
2023-10-06 23:16:16,523.FinalProject.INFO Prepared binary message b'[1714207,A]'....
2023-10-06 23:16:16,557.FinalProject.INFO Prepared binary message b'[1714207,4.00]'....
